epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,731.164,0.67858,0.46438,0.9421,0.99853,1,0.995,0.85808,0.62219,0.42354,0.90711,0.0011684,0.0011684,0.0011684
44,748.339,0.68154,0.46894,0.9336,0.99785,1,0.995,0.86738,0.58941,0.42958,0.88677,0.0011486,0.0011486,0.0011486
45,763.912,0.65892,0.4581,0.93882,0.9973,1,0.995,0.8584,0.58986,0.41434,0.88484,0.0011288,0.0011288,0.0011288
46,781.455,0.65173,0.45725,0.93386,0.99816,1,0.995,0.86341,0.59283,0.39295,0.88547,0.001109,0.001109,0.001109
47,797.387,0.64981,0.46438,0.95217,0.9989,1,0.995,0.87754,0.54837,0.37586,0.86826,0.0010892,0.0010892,0.0010892
48,819.716,0.66608,0.46515,0.94664,0.99877,1,0.995,0.8766,0.57364,0.37389,0.87588,0.0010694,0.0010694,0.0010694
49,835.088,0.64558,0.44077,0.91365,0.99897,1,0.995,0.87407,0.58127,0.37406,0.87845,0.0010496,0.0010496,0.0010496
50,851.674,0.66143,0.46176,0.95384,0.99887,1,0.995,0.86206,0.60893,0.37878,0.88408,0.0010298,0.0010298,0.0010298
51,869.437,0.64574,0.43389,0.92037,0.99836,1,0.995,0.8631,0.5459,0.37122,0.87079,0.00101,0.00101,0.00101
52,885.288,0.65732,0.43995,0.93483,0.9979,1,0.995,0.88344,0.54886,0.35698,0.87698,0.0009902,0.0009902,0.0009902
53,899.437,0.64595,0.43659,0.93019,0.99888,1,0.995,0.88139,0.56315,0.36863,0.88656,0.0009704,0.0009704,0.0009704
54,914.583,0.611,0.4155,0.91257,0.99898,1,0.995,0.88153,0.55096,0.3538,0.87486,0.0009506,0.0009506,0.0009506
55,931.109,0.61165,0.41504,0.92693,0.99896,1,0.995,0.88288,0.54201,0.34963,0.87401,0.0009308,0.0009308,0.0009308
56,946.011,0.62454,0.41606,0.94347,0.99888,1,0.995,0.88116,0.51709,0.33677,0.85966,0.000911,0.000911,0.000911
57,960.497,0.6487,0.41995,0.93115,0.9989,1,0.995,0.88291,0.55101,0.35045,0.865,0.0008912,0.0008912,0.0008912
58,975.164,0.64286,0.42721,0.93707,0.99892,1,0.995,0.88505,0.54089,0.35922,0.86875,0.0008714,0.0008714,0.0008714
59,991.08,0.66319,0.4486,0.9533,1,0.99865,0.995,0.87539,0.56084,0.36511,0.87468,0.0008516,0.0008516,0.0008516
60,1007.66,0.62369,0.42268,0.9188,1,0.99953,0.995,0.8847,0.54117,0.34693,0.85981,0.0008318,0.0008318,0.0008318
61,1023.26,0.6072,0.41176,0.92773,1,0.99982,0.995,0.86356,0.59308,0.35978,0.8838,0.000812,0.000812,0.000812
62,1038.03,0.64612,0.4252,0.94551,0.99732,1,0.995,0.86399,0.56703,0.353,0.88366,0.0007922,0.0007922,0.0007922
63,1053.21,0.59675,0.39424,0.93213,0.99797,1,0.995,0.87131,0.57142,0.34929,0.8773,0.0007724,0.0007724,0.0007724
64,1069.53,0.61427,0.41577,0.94443,0.99643,1,0.995,0.87653,0.5482,0.32015,0.87788,0.0007526,0.0007526,0.0007526
65,1083.17,0.58808,0.37926,0.91984,0.99451,1,0.995,0.88375,0.54051,0.3194,0.87444,0.0007328,0.0007328,0.0007328
66,1099.23,0.59122,0.38263,0.91892,0.99805,1,0.995,0.87047,0.55917,0.35574,0.87106,0.000713,0.000713,0.000713
67,1115.12,0.61697,0.41249,0.91512,0.9964,1,0.995,0.86502,0.56915,0.44967,0.87872,0.0006932,0.0006932,0.0006932
68,1131.58,0.58551,0.37499,0.91056,0.99662,1,0.995,0.8646,0.55577,0.39524,0.87505,0.0006734,0.0006734,0.0006734
69,1146.68,0.60853,0.39153,0.917,0.99855,1,0.995,0.86093,0.57357,0.33181,0.87894,0.0006536,0.0006536,0.0006536
70,1164.09,0.5697,0.37987,0.90168,0.9989,1,0.995,0.88246,0.53596,0.30298,0.87163,0.0006338,0.0006338,0.0006338
71,1179.62,0.57682,0.38158,0.90853,0.99897,1,0.995,0.87513,0.52992,0.29895,0.87012,0.000614,0.000614,0.000614
72,1194.65,0.5784,0.3824,0.90499,0.99897,1,0.995,0.88282,0.53213,0.30577,0.87015,0.0005942,0.0005942,0.0005942
73,1209.42,0.55787,0.37448,0.91201,0.999,1,0.995,0.88925,0.53136,0.31642,0.8706,0.0005744,0.0005744,0.0005744
74,1225.12,0.61943,0.40574,0.9315,0.99899,1,0.995,0.90061,0.52486,0.30408,0.86641,0.0005546,0.0005546,0.0005546
75,1241.36,0.5726,0.37855,0.90521,0.99903,1,0.995,0.88803,0.51989,0.30328,0.86263,0.0005348,0.0005348,0.0005348
76,1255.74,0.56781,0.37119,0.9171,0.99889,1,0.995,0.88271,0.51483,0.29788,0.85921,0.000515,0.000515,0.000515
77,1272.78,0.5808,0.39226,0.91891,0.99886,1,0.995,0.88763,0.51154,0.29764,0.86575,0.0004952,0.0004952,0.0004952
78,1290.17,0.55479,0.35886,0.91169,0.99897,1,0.995,0.88253,0.51456,0.29299,0.86725,0.0004754,0.0004754,0.0004754
79,1312.42,0.55646,0.3546,0.92117,0.99888,1,0.995,0.8948,0.51004,0.29033,0.86764,0.0004556,0.0004556,0.0004556
80,1327.03,0.57116,0.37165,0.91667,0.99889,1,0.995,0.89387,0.50185,0.28672,0.86402,0.0004358,0.0004358,0.0004358
81,1343.21,0.57913,0.36085,0.90256,0.99895,1,0.995,0.90144,0.48988,0.28142,0.85729,0.000416,0.000416,0.000416
82,1357.5,0.54061,0.3593,0.9183,0.99898,1,0.995,0.88821,0.48781,0.27617,0.85777,0.0003962,0.0003962,0.0003962
83,1373.19,0.56316,0.35277,0.90361,0.99901,1,0.995,0.88927,0.49895,0.2746,0.85906,0.0003764,0.0003764,0.0003764
84,1387.61,0.53604,0.3608,0.91006,0.99901,1,0.995,0.88139,0.51117,0.27979,0.86192,0.0003566,0.0003566,0.0003566
